game_id,network,critical_ms,playable_ms,total_ms
game_001,fast,1220.0,3400.0,6380.0
game_002,fast,1780.0,4840.0,8860.0
game_003,fast,900.0,4840.0,9900.0
game_004,fast,1460.0,3400.0,9500.0
game_005,fast,2020.0,4840.0,11980.0
game_006,fast,1140.0,4840.0,7260.0
game_007,fast,1700.0,3400.0,6860.0
game_008,fast,820.0,3400.0,7900.0
game_009,fast,1380.0,4840.0,10380.0
game_010,fast,1940.0,3400.0,9980.0
game_011,fast,1060.0,3400.0,11020.0
game_012,fast,1620.0,4840.0,7740.0
game_013,fast,740.0,4840.0,8780.0
game_014,fast,1300.0,3400.0,8380.0
game_015,fast,1860.0,4840.0,10860.0
game_016,fast,980.0,4840.0,11900.0
game_017,fast,1540.0,3400.0,5740.0
game_018,fast,660.0,3400.0,6780.0
game_019,fast,1220.0,4840.0,9260.0
game_020,fast,1780.0,3400.0,8860.0
game_021,fast,900.0,3400.0,9900.0
game_022,fast,1460.0,4840.0,12380.0
game_023,fast,2020.0,3400.0,6220.0
game_024,fast,1140.0,3400.0,7260.0
game_025,fast,1700.0,4840.0,9740.0
game_026,fast,820.0,4840.0,10780.0
game_027,fast,1380.0,3400.0,10380.0
game_028,fast,1940.0,4840.0,7100.0
game_029,fast,1060.0,4840.0,8140.0
game_030,fast,1620.0,3400.0,7740.0
game_031,fast,740.0,3400.0,8780.0
game_032,fast,1300.0,4840.0,11260.0
game_033,fast,1860.0,3400.0,10860.0
game_034,fast,980.0,3400.0,6140.0
game_035,fast,1540.0,4840.0,8620.0
game_036,fast,660.0,1960.0,6780.0
game_037,fast,1220.0,3400.0,9260.0
game_038,fast,1780.0,4840.0,11740.0
game_039,fast,900.0,4840.0,7020.0
game_040,fast,1460.0,3400.0,6620.0
game_041,fast,2020.0,4840.0,9100.0
game_042,fast,1140.0,4840.0,10140.0
game_043,fast,1700.0,3400.0,9740.0
game_044,fast,820.0,3400.0,10780.0
game_045,fast,1380.0,4840.0,7500.0
game_046,fast,1940.0,3400.0,7100.0
game_047,fast,1060.0,3400.0,8140.0
game_048,fast,1620.0,4840.0,10620.0
game_049,fast,740.0,4840.0,11660.0
game_050,fast,1300.0,3400.0,5500.0
game_051,fast,1860.0,4840.0,7980.0
game_052,fast,980.0,4840.0,9020.0
game_053,fast,1540.0,3400.0,8620.0
game_054,fast,660.0,3400.0,9660.0
game_055,fast,1220.0,4840.0,12140.0
game_056,fast,1780.0,3400.0,5980.0
game_057,fast,900.0,3400.0,7020.0
game_058,fast,1460.0,4840.0,9500.0
game_059,fast,2020.0,3400.0,9100.0
game_060,fast,1140.0,3400.0,10140.0
game_061,fast,1700.0,4840.0,6860.0
game_062,fast,820.0,4840.0,7900.0
game_063,fast,1380.0,3400.0,7500.0
game_064,fast,1940.0,4840.0,9980.0
game_065,fast,1060.0,4840.0,11020.0
game_066,fast,1620.0,3400.0,10620.0
game_067,fast,740.0,3400.0,5900.0
game_068,fast,1300.0,4840.0,8380.0
game_069,fast,1860.0,3400.0,7980.0
game_070,fast,980.0,3400.0,9020.0
game_071,fast,1540.0,4840.0,11500.0
game_072,fast,660.0,1960.0,3900.0
game_073,fast,1220.0,3400.0,6380.0
game_074,fast,1780.0,4840.0,8860.0
game_075,fast,900.0,4840.0,9900.0
game_076,fast,1460.0,3400.0,9500.0
game_077,fast,2020.0,4840.0,11980.0
game_078,fast,1140.0,4840.0,7260.0
game_079,fast,1700.0,3400.0,6860.0
game_080,fast,820.0,3400.0,7900.0
game_081,fast,1380.0,4840.0,10380.0
game_082,fast,1940.0,3400.0,9980.0
game_083,fast,1060.0,3400.0,11020.0
game_084,fast,1620.0,4840.0,7740.0
game_085,fast,740.0,4840.0,8780.0
game_086,fast,1300.0,3400.0,8380.0
game_087,fast,1860.0,4840.0,10860.0
game_088,fast,980.0,4840.0,11900.0
game_089,fast,1540.0,3400.0,5740.0
game_090,fast,660.0,3400.0,6780.0
game_091,fast,1220.0,4840.0,9260.0
game_092,fast,1780.0,3400.0,8860.0
game_093,fast,900.0,3400.0,9900.0
game_094,fast,1460.0,4840.0,12380.0
game_095,fast,2020.0,3400.0,6220.0
game_096,fast,1140.0,3400.0,7260.0
game_097,fast,1700.0,4840.0,9740.0
game_098,fast,820.0,4840.0,10780.0
game_099,fast,1380.0,3400.0,10380.0
game_100,fast,1940.0,4840.0,7100.0
game_001,medium,6080.0,16960.0,31840.0
game_002,medium,8880.0,24160.0,44240.0
game_003,medium,4480.0,24160.0,49440.0
game_004,medium,7280.0,16960.0,47440.0
game_005,medium,10080.0,24160.0,59840.0
game_006,medium,5680.0,24160.0,36240.0
game_007,medium,8480.0,16960.0,34240.0
game_008,medium,4080.0,16960.0,39440.0
game_009,medium,6880.0,24160.0,51840.0
game_010,medium,9680.0,16960.0,49840.0
game_011,medium,5280.0,16960.0,55040.0
game_012,medium,8080.0,24160.0,38640.0
game_013,medium,3680.0,24160.0,43840.0
game_014,medium,6480.0,16960.0,41840.0
game_015,medium,9280.0,24160.0,54240.0
game_016,medium,4880.0,24160.0,59440.0
game_017,medium,7680.0,16960.0,28640.0
game_018,medium,3280.0,16960.0,33840.0
game_019,medium,6080.0,24160.0,46240.0
game_020,medium,8880.0,16960.0,44240.0
game_021,medium,4480.0,16960.0,49440.0
game_022,medium,7280.0,24160.0,61840.0
game_023,medium,10080.0,16960.0,31040.0
game_024,medium,5680.0,16960.0,36240.0
game_025,medium,8480.0,24160.0,48640.0
game_026,medium,4080.0,24160.0,53840.0
game_027,medium,6880.0,16960.0,51840.0
game_028,medium,9680.0,24160.0,35440.0
game_029,medium,5280.0,24160.0,40640.0
game_030,medium,8080.0,16960.0,38640.0
game_031,medium,3680.0,16960.0,43840.0
game_032,medium,6480.0,24160.0,56240.0
game_033,medium,9280.0,16960.0,54240.0
game_034,medium,4880.0,16960.0,30640.0
game_035,medium,7680.0,24160.0,43040.0
game_036,medium,3280.0,9760.0,33840.0
game_037,medium,6080.0,16960.0,46240.0
game_038,medium,8880.0,24160.0,58640.0
game_039,medium,4480.0,24160.0,35040.0
game_040,medium,7280.0,16960.0,33040.0
game_041,medium,10080.0,24160.0,45440.0
game_042,medium,5680.0,24160.0,50640.0
game_043,medium,8480.0,16960.0,48640.0
